Zoo Name,Location,City,State,SpeciesID,Species Name,Opening Balance - Male,Opening Balance - Female,Opening Balance - Unknown Sex,Opening Balance - Total,Birth - Male,Birth - Female,Birth - Unknown Sex,Acquisition - Male,Acquisition - Female,Acquisition - Unknown Sex,Death - Male,Death - Female,Death - Unknown Sex,Disposal - Male,Disposal - Female,Disposal - Unknown Sex,Closing Balance - Male,Closing Balance - Female,Closing Balance - Unknown Sex,Closing Balance - Total,Zoo Size,Total_Birth,Total_Acquisition,Total_Death,Total_Disposal,Calculated_Closing,Reporting_Error,Zone,Net_Growth,Is_Endangered,Mortality_Rate
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,24.0,Great Horned Owl (Bubo ) virginianus,7.0,2.0,5.0,13.0,3.0,7.0,14.0,8.0,7.0,8.0,13.0,13.0,8.0,7.0,12.0,3.0,11.0,6.0,2.0,2.0,Large,24.0,23.0,34.0,22.0,4.0,True,South,-9.0,False,2.62
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,25.0,Great White (Pelecanus ) Pelican onocrotalus,7.0,4.0,9.0,20.0,7.0,13.0,9.0,4.0,2.0,13.0,3.0,13.0,13.0,7.0,12.0,14.0,7.0,4.0,8.0,19.0,Large,29.0,19.0,29.0,33.0,6.0,True,South,-14.0,False,1.45
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,27.0,"Green-winged (Ara ) Macaw, chloropteru Red-and-green s Macaw",12.0,3.0,2.0,2.0,15.0,8.0,15.0,14.0,5.0,11.0,8.0,7.0,14.0,9.0,13.0,12.0,6.0,10.0,2.0,2.0,Large,38.0,30.0,29.0,34.0,7.0,True,South,5.0,False,14.5
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,28.0,Grey Heron (Ardea ) cinerea,3.0,6.0,22.0,22.0,13.0,8.0,11.0,13.0,10.0,15.0,3.0,7.0,4.0,12.0,6.0,2.0,11.0,10.0,20.0,20.0,Large,32.0,38.0,14.0,20.0,58.0,True,South,36.0,False,0.64
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,29.0,"Grey Parrot, (Psittacus ) Jacquot erithacus",4.0,8.0,2.0,4.0,10.0,11.0,15.0,15.0,11.0,11.0,2.0,5.0,13.0,12.0,4.0,2.0,12.0,9.0,2.0,4.0,Large,36.0,37.0,20.0,18.0,39.0,True,South,35.0,False,5.0
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,30.0,Himalayan Vulture (Gyps ) himalayensi s,11.0,3.0,6.0,2.0,7.0,9.0,5.0,7.0,2.0,10.0,9.0,10.0,9.0,8.0,2.0,10.0,6.0,13.0,8.0,2.0,Large,21.0,19.0,28.0,20.0,-6.0,True,South,-8.0,False,14.0
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,31.0,*Indian Peafowl (Pavo ) cristatus,2.0,5.0,12.0,19.0,14.0,4.0,2.0,7.0,14.0,12.0,3.0,3.0,12.0,10.0,4.0,10.0,2.0,5.0,12.0,19.0,Large,20.0,33.0,18.0,24.0,30.0,True,South,11.0,False,0.95
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,32.0,Java Sparrow (Lonchura ) oryzivora,4.0,6.0,11.0,10.0,7.0,9.0,3.0,15.0,2.0,12.0,11.0,10.0,2.0,14.0,13.0,11.0,4.0,6.0,3.0,10.0,Large,19.0,29.0,23.0,38.0,-3.0,True,South,-13.0,False,2.3
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,33.0,Lady Amherst's (Chrysoloph ) Pheasant us amherstiae,3.0,15.0,7.0,3.0,7.0,8.0,12.0,13.0,9.0,8.0,7.0,7.0,15.0,7.0,13.0,14.0,9.0,10.0,3.0,3.0,Large,27.0,30.0,29.0,34.0,-3.0,True,South,-6.0,False,9.67
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,34.0,Lesser Adjutant (Leptoptilos ) Stork javanicus,2.0,12.0,14.0,7.0,2.0,10.0,8.0,10.0,14.0,4.0,5.0,12.0,6.0,15.0,7.0,3.0,9.0,10.0,10.0,12.0,Large,20.0,28.0,23.0,25.0,7.0,True,South,0.0,False,3.29
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,35.0,Lesser Flamingo (Phoenicona ) ias minor,9.0,5.0,2.0,2.0,7.0,5.0,4.0,8.0,11.0,3.0,8.0,10.0,15.0,7.0,5.0,12.0,15.0,5.0,2.0,2.0,Large,16.0,22.0,33.0,24.0,-17.0,True,South,-19.0,False,16.5
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,36.0,Little Cormorant (Microcarbo ) niger,10.0,14.0,4.0,4.0,2.0,10.0,14.0,4.0,14.0,10.0,13.0,11.0,13.0,10.0,5.0,9.0,2.0,9.0,4.0,4.0,Large,26.0,28.0,37.0,24.0,-3.0,True,South,-7.0,False,9.25
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,37.0,Little Egret (Egretta ) garzetta,4.0,8.0,5.0,5.0,7.0,9.0,3.0,14.0,7.0,6.0,10.0,14.0,3.0,9.0,11.0,2.0,12.0,12.0,5.0,5.0,Large,19.0,27.0,27.0,22.0,2.0,True,South,-3.0,False,5.4
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,39.0,"Moluccan (Cacatua ) Cockatoo, moluccensi Salmon-crested s Cockatoo",3.0,4.0,6.0,2.0,7.0,2.0,2.0,8.0,3.0,5.0,4.0,12.0,3.0,14.0,11.0,13.0,13.0,14.0,4.0,2.0,Large,11.0,16.0,19.0,38.0,-28.0,True,South,-30.0,False,9.5
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,40.0,Mottled Wood Owl (Strix ) ocellata,12.0,15.0,5.0,5.0,2.0,10.0,9.0,3.0,5.0,8.0,8.0,12.0,13.0,14.0,6.0,2.0,15.0,9.0,3.0,3.0,Large,21.0,16.0,33.0,22.0,-13.0,True,South,-18.0,False,6.6
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,41.0,"Orange-winged (Amazona ) Amazon, amazonica Orange-winged Parrot",8.0,12.0,7.0,2.0,12.0,13.0,11.0,9.0,9.0,2.0,12.0,12.0,8.0,2.0,15.0,15.0,6.0,3.0,12.0,15.0,Large,36.0,20.0,32.0,32.0,-6.0,True,South,-8.0,False,16.0
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,42.0,Oriental Darter (Anhinga ) melanogast er,7.0,5.0,2.0,12.0,4.0,10.0,2.0,14.0,5.0,6.0,15.0,12.0,12.0,9.0,7.0,13.0,7.0,8.0,7.0,3.0,Large,16.0,25.0,39.0,29.0,-15.0,True,South,-27.0,False,3.25
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,43.0,*Oriental Pied (Anthracocer ) Hornbill os albirostris,3.0,12.0,5.0,3.0,14.0,9.0,4.0,14.0,15.0,5.0,13.0,15.0,9.0,15.0,14.0,14.0,4.0,13.0,6.0,10.0,Large,27.0,34.0,37.0,43.0,-16.0,True,South,-19.0,False,12.33
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,44.0,Painted Stork (Mycteria ) leucocephal a,5.0,5.0,32.0,42.0,13.0,14.0,9.0,15.0,3.0,5.0,5.0,9.0,5.0,14.0,13.0,8.0,5.0,5.0,32.0,42.0,Large,36.0,23.0,19.0,35.0,47.0,True,South,5.0,False,0.45
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,45.0,*Peafowl (leucistic) (Pavo ) cristatus,5.0,7.0,5.0,17.0,8.0,4.0,4.0,9.0,14.0,14.0,10.0,5.0,14.0,5.0,5.0,3.0,5.0,7.0,6.0,18.0,Large,16.0,37.0,29.0,13.0,28.0,True,South,11.0,False,1.71
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,46.0,Rainbow Lorikeet (Trichogloss ) us moluccanus,15.0,3.0,7.0,2.0,10.0,9.0,8.0,14.0,8.0,9.0,9.0,3.0,9.0,3.0,3.0,15.0,10.0,12.0,6.0,6.0,Large,27.0,31.0,21.0,21.0,18.0,True,South,16.0,False,10.5
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,47.0,Red Junglefowl (Gallus ) gallus,14.0,3.0,9.0,5.0,13.0,15.0,3.0,3.0,6.0,5.0,13.0,15.0,11.0,7.0,2.0,6.0,2.0,13.0,12.0,2.0,Large,31.0,14.0,39.0,15.0,-4.0,True,South,-9.0,False,7.8
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,48.0,Red-bellied (Orthopsittac ) Macaw a manilatus,3.0,14.0,10.0,10.0,9.0,6.0,12.0,3.0,4.0,8.0,14.0,3.0,15.0,12.0,9.0,5.0,7.0,13.0,10.0,10.0,Large,27.0,15.0,32.0,26.0,-6.0,True,South,-16.0,False,3.2
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,50.0,Rose-ringed (Psittacula ) Parakeet krameri,33.0,52.0,72.0,157.0,3.0,5.0,3.0,9.0,15.0,2.0,2.0,7.0,13.0,5.0,11.0,3.0,33.0,52.0,75.0,160.0,Large,11.0,26.0,22.0,19.0,153.0,True,South,-4.0,False,0.14
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,51.0,Rose-ringed (Psittacula ) Parakeet (color sp. morph),7.0,7.0,5.0,19.0,9.0,12.0,14.0,4.0,3.0,5.0,3.0,10.0,2.0,15.0,8.0,2.0,7.0,7.0,3.0,17.0,Large,35.0,12.0,15.0,25.0,26.0,True,South,7.0,False,0.79
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,52.0,RÃ¼ppell's Parrot (Poicephalu ) s rueppellii,11.0,7.0,7.0,4.0,8.0,4.0,15.0,8.0,11.0,15.0,10.0,5.0,5.0,5.0,7.0,3.0,11.0,3.0,8.0,9.0,Large,27.0,34.0,20.0,15.0,30.0,True,South,26.0,False,5.0
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,53.0,Sarus Crane (Antigone ) antigone,2.0,2.0,13.0,4.0,13.0,3.0,4.0,6.0,4.0,14.0,5.0,8.0,15.0,13.0,5.0,2.0,2.0,6.0,12.0,3.0,Large,20.0,24.0,28.0,20.0,0.0,True,South,-4.0,False,7.0
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,54.0,Scarlet Macaw (Ara macao ),11.0,2.0,5.0,5.0,12.0,3.0,5.0,2.0,8.0,15.0,9.0,12.0,8.0,3.0,8.0,10.0,7.0,3.0,5.0,5.0,Large,20.0,25.0,29.0,21.0,0.0,True,South,-5.0,False,5.8
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,55.0,Silver Pheasant (Lophura ) nycthemera,3.0,4.0,7.0,5.0,12.0,13.0,8.0,11.0,14.0,15.0,10.0,2.0,13.0,11.0,13.0,2.0,3.0,11.0,6.0,4.0,Large,33.0,40.0,25.0,26.0,27.0,True,South,22.0,False,5.0
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,56.0,Southern (Casuarius ) Cassowary casuarius,3.0,11.0,3.0,2.0,12.0,12.0,4.0,10.0,12.0,2.0,5.0,5.0,8.0,8.0,5.0,3.0,14.0,9.0,12.0,2.0,Large,28.0,24.0,18.0,16.0,20.0,True,South,18.0,False,9.0
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,57.0,Spot-billed Pelican (Pelecanus ) philippensis,3.0,4.0,27.0,27.0,3.0,3.0,6.0,14.0,9.0,5.0,7.0,11.0,8.0,9.0,11.0,11.0,5.0,5.0,27.0,27.0,Large,12.0,28.0,26.0,31.0,10.0,True,South,-17.0,False,0.96
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,58.0,*White Stork (Ciconia ) ciconia,7.0,9.0,7.0,13.0,5.0,7.0,6.0,5.0,5.0,11.0,8.0,10.0,5.0,9.0,4.0,2.0,4.0,11.0,10.0,14.0,Large,18.0,21.0,23.0,15.0,14.0,False,South,1.0,False,1.77
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,59.0,"White-eyed (Aratinga ) Conure, leucophthal White-eyed ma Parakeet",4.0,14.0,2.0,2.0,15.0,9.0,7.0,9.0,4.0,8.0,2.0,6.0,2.0,2.0,7.0,15.0,6.0,15.0,12.0,15.0,Large,31.0,21.0,10.0,24.0,20.0,True,South,18.0,False,5.0
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,60.0,*White-rumped (Gyps ) Vulture bengalensis,3.0,10.0,10.0,2.0,2.0,10.0,6.0,11.0,13.0,6.0,5.0,11.0,7.0,10.0,13.0,8.0,2.0,8.0,3.0,14.0,Large,18.0,30.0,23.0,31.0,-4.0,True,South,-6.0,False,11.5
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,61.0,Zebra Finch (Taeniopygia ) guttata,3.0,2.0,4.0,5.0,14.0,10.0,6.0,2.0,8.0,10.0,12.0,13.0,13.0,2.0,13.0,14.0,7.0,13.0,8.0,2.0,Large,30.0,20.0,38.0,29.0,-12.0,True,South,-17.0,False,7.6
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,46.96859169199595,Mammalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Large,0.0,0.0,0.0,0.0,0.0,False,South,0.0,False,0.0
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,63.0,"*Asiatic Wild Dog, (Cuon ) Dhole, Indian Wild alpinus Dog, Red Dog",4.0,3.0,7.0,7.0,14.0,5.0,11.0,6.0,2.0,5.0,10.0,3.0,9.0,13.0,10.0,14.0,4.0,3.0,14.0,7.0,Large,30.0,13.0,22.0,37.0,-9.0,True,South,-16.0,False,3.14
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,64.0,*Barasingha (Rucervus ) (Swamp Deer) duvaucelii,2.0,4.0,8.0,12.0,14.0,13.0,5.0,14.0,4.0,11.0,8.0,7.0,11.0,9.0,15.0,7.0,13.0,4.0,13.0,17.0,Large,32.0,29.0,26.0,31.0,16.0,True,South,4.0,False,2.17
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,65.0,*Bengal Hanuman (Semnopithe ) langur cus entellus,4.0,5.0,10.0,9.0,4.0,15.0,4.0,11.0,13.0,14.0,14.0,13.0,3.0,2.0,2.0,3.0,4.0,5.0,15.0,10.0,Large,23.0,38.0,30.0,7.0,33.0,True,South,24.0,False,3.33
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,66.0,*Bengal Tiger (Panthera ) tigris tigris,6.0,9.0,15.0,15.0,13.0,6.0,10.0,5.0,15.0,6.0,13.0,15.0,11.0,10.0,3.0,11.0,6.0,9.0,11.0,15.0,Large,29.0,26.0,39.0,24.0,7.0,True,South,-8.0,False,2.6
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,67.0,*Blackbuck (Antilope ) cervicapra,3.0,7.0,16.0,26.0,3.0,13.0,2.0,10.0,5.0,13.0,8.0,5.0,10.0,14.0,11.0,14.0,3.0,7.0,17.0,27.0,Large,18.0,28.0,23.0,39.0,10.0,True,South,-16.0,False,0.88
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,68.0,*Bonnet Macaque (Macaca ) radiata,4.0,11.0,2.0,17.0,10.0,5.0,2.0,2.0,12.0,4.0,14.0,14.0,11.0,12.0,12.0,15.0,4.0,11.0,2.0,17.0,Large,17.0,18.0,39.0,39.0,-26.0,True,South,-43.0,False,2.29
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,69.0,"Chimpanzee, (Pan ) Common troglodytes chimpanzee, Robust chimpanzee",2.0,7.0,5.0,3.0,8.0,10.0,2.0,12.0,11.0,7.0,5.0,4.0,8.0,13.0,10.0,15.0,2.0,4.0,5.0,3.0,Large,20.0,30.0,17.0,38.0,-2.0,True,South,-5.0,False,5.67
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,70.0,Chital/ Spotted (Axis axis ) Deer,4.0,21.0,14.0,39.0,13.0,5.0,14.0,8.0,6.0,2.0,12.0,13.0,10.0,6.0,7.0,7.0,4.0,21.0,28.0,53.0,Large,32.0,16.0,35.0,20.0,32.0,True,South,-7.0,False,0.9
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,71.0,"Common Squirrel (Saimiri ) Monkey, South sciureus american squirrel monkey",12.0,2.0,3.0,3.0,13.0,9.0,10.0,15.0,8.0,4.0,9.0,4.0,11.0,6.0,10.0,2.0,6.0,2.0,14.0,4.0,Large,32.0,27.0,24.0,18.0,20.0,True,South,17.0,False,8.0
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,72.0,"Common (Hippopotam ) hippopotamus, us Hippopotamus, amphibius Large Hippo",4.0,3.0,14.0,7.0,6.0,4.0,15.0,9.0,14.0,4.0,12.0,5.0,14.0,3.0,9.0,13.0,4.0,3.0,9.0,8.0,Large,25.0,27.0,31.0,25.0,3.0,True,South,-4.0,False,4.43
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,74.0,*Fox Common (Vulpes ) bengalensis,14.0,11.0,7.0,9.0,2.0,3.0,13.0,6.0,15.0,6.0,15.0,6.0,3.0,6.0,11.0,4.0,15.0,11.0,7.0,4.0,Large,18.0,27.0,24.0,21.0,9.0,True,South,0.0,False,2.67
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,75.0,*Ghats Grey langur (Semnopithe ) cus thersites,10.0,12.0,3.0,9.0,11.0,13.0,9.0,6.0,2.0,13.0,4.0,2.0,7.0,4.0,5.0,5.0,10.0,10.0,10.0,15.0,Large,33.0,21.0,13.0,14.0,36.0,True,South,27.0,False,1.44
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,76.0,*Gray Slender Loris (Loris ) lydekkerian us,9.0,6.0,10.0,15.0,5.0,7.0,2.0,7.0,2.0,5.0,4.0,3.0,12.0,4.0,3.0,11.0,15.0,5.0,14.0,15.0,Large,14.0,14.0,19.0,18.0,6.0,True,South,-9.0,False,1.27
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,77.0,*Himalayan Black (Ursus ) Bear thibetanus laniger,2.0,2.0,13.0,3.0,11.0,10.0,13.0,12.0,10.0,3.0,7.0,13.0,15.0,2.0,14.0,9.0,15.0,2.0,12.0,3.0,Large,34.0,25.0,35.0,25.0,2.0,True,South,-1.0,False,11.67
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,78.0,Hybrid Lion (Panthera ) leo (hybrid),5.0,5.0,15.0,10.0,4.0,15.0,3.0,5.0,3.0,15.0,15.0,15.0,15.0,12.0,8.0,10.0,4.0,5.0,15.0,9.0,Large,22.0,23.0,45.0,30.0,-20.0,True,South,-30.0,False,4.5
Arignar Anna Zoological Park,Vandalur,Chennai,Tamil Nadu,79.0,"*Indian Bison,Gaur (Bos gaurus )",9.0,13.0,12.0,34.0,8.0,9.0,3.0,7.0,4.0,10.0,2.0,10.0,9.0,2.0,9.0,10.0,10.0,14.0,15.0,39.0,Large,20.0,21.0,21.0,21.0,33.0,True,South,-1.0,False,0.62
